###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## EVOLUTIVE NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
#
#Similarity IdClusterA IdClusterB LinkCode 
5.25240 Clus>270 Clus>663 3
2.70419 Clus>270 Clus>664 3
3.25763 Clus>270 Clus>665 3
5.28207 Clus>270 Clus>666 3
4.70486 Clus>270 Clus>667 3
5.07049 Clus>270 Clus>668 1
0.990243 Clus>270 Clus>669 1
3.98673 Clus>271 Clus>303 3
2.26249 Clus>271 Clus>338 1
4.29440 Clus>271 Clus>386 1
3.54458 Clus>271 Clus>394 1
2.67545 Clus>271 Clus>606 3
3.24493 Clus>271 Clus>607 2
4.18362 Clus>272 Clus>328 3
4.60318 Clus>274 Clus>725 3
1.87604 Clus>274 Clus>726 1
5.39385 Clus>277 Clus>507 3
5.53884 Clus>277 Clus>508 3
3.18785 Clus>277 Clus>509 3
5.73486 Clus>278 Clus>439 3
2.71264 Clus>279 Clus>388 1
4.71261 Clus>280 Clus>303 1
2.87340 Clus>282 Clus>570 1
5.27340 Clus>282 Clus>571 1
1.71215 Clus>288 Clus>317 3
2.62293 Clus>288 Clus>318 3
3.49955 Clus>288 Clus>322 3
2.94970 Clus>288 Clus>355 3
0.978350 Clus>288 Clus>409 3
2.87525 Clus>288 Clus>541 3
2.70940 Clus>288 Clus>543 3
1.33340 Clus>288 Clus>544 2
0.883950 Clus>288 Clus>546 3
1.38240 Clus>288 Clus>548 3
2.77920 Clus>288 Clus>554 2
1.79090 Clus>288 Clus>555 2
3.73990 Clus>288 Clus>556 2
3.89140 Clus>288 Clus>557 2
1.79340 Clus>288 Clus>559 3
0.935300 Clus>288 Clus>560 3
6.76905 Clus>290 Clus>703 3
5.73760 Clus>291 Clus>552 1
6.30410 Clus>298 Clus>310 3
3.09863 Clus>298 Clus>383 3
2.81168 Clus>298 Clus>634 1
3.76801 Clus>298 Clus>635 3
2.78907 Clus>298 Clus>636 3
5.07783 Clus>298 Clus>637 3
4.83109 Clus>301 Clus>337 1
4.78207 Clus>301 Clus>358 1
4.02527 Clus>301 Clus>398 1
6.00654 Clus>301 Clus>401 1
4.12340 Clus>301 Clus>411 1
5.27642 Clus>301 Clus>674 1
3.55293 Clus>301 Clus>675 3
6.44475 Clus>303 Clus>338 1
5.42620 Clus>303 Clus>386 1
5.51569 Clus>303 Clus>394 1
4.60378 Clus>303 Clus>606 3
2.99321 Clus>303 Clus>607 2
2.52549 Clus>304 Clus>327 3
3.31163 Clus>304 Clus>538 3
6.50772 Clus>304 Clus>539 3
3.97738 Clus>305 Clus>410 1
6.05318 Clus>307 Clus>413 3
6.31948 Clus>308 Clus>631 3
3.82812 Clus>309 Clus>380 3
2.14553 Clus>310 Clus>383 3
2.94403 Clus>310 Clus>634 1
1.98290 Clus>310 Clus>635 3
5.69027 Clus>310 Clus>636 3
5.14150 Clus>310 Clus>637 3
2.24240 Clus>311 Clus>341 3
4.38297 Clus>311 Clus>407 3
4.09333 Clus>311 Clus>441 3
6.11330 Clus>311 Clus>540 3
1.11035 Clus>311 Clus>547 3
3.07155 Clus>311 Clus>549 2
3.38590 Clus>311 Clus>550 3
3.03555 Clus>311 Clus>551 3
3.53070 Clus>311 Clus>554 1
1.25750 Clus>311 Clus>555 1
1.79775 Clus>311 Clus>558 1
3.40165 Clus>311 Clus>561 3
5.47330 Clus>312 Clus>395 3
2.73930 Clus>312 Clus>739 1
4.54866 Clus>315 Clus>388 3
5.93343 Clus>316 Clus>424 3
4.13720 Clus>317 Clus>318 3
3.82767 Clus>317 Clus>322 3
3.70321 Clus>317 Clus>355 3
1.35602 Clus>317 Clus>409 3
2.77200 Clus>317 Clus>541 3
1.48063 Clus>317 Clus>543 3
3.41800 Clus>317 Clus>544 3
0.775300 Clus>317 Clus>546 3
1.87197 Clus>317 Clus>548 3
4.60373 Clus>317 Clus>554 2
1.25437 Clus>317 Clus>555 2
4.62900 Clus>317 Clus>556 2
1.37543 Clus>317 Clus>557 2
1.34080 Clus>317 Clus>559 3
1.45310 Clus>317 Clus>560 3
6.53467 Clus>318 Clus>322 3
4.38919 Clus>318 Clus>355 3
1.86847 Clus>318 Clus>409 3
4.09085 Clus>318 Clus>541 3
3.36555 Clus>318 Clus>543 3
3.23427 Clus>318 Clus>544 3
